Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,L
1,Dallas Mavericks,67,16180,2787,6027,0.462,1026,2779,0.369,1761,3248,0.542,1196,1548,0.773,712,2438,3150,1640,419,334,857,1276,7796,40,27
2,Milwaukee Bucks*,65,15650,2830,5928,0.477,893,2510,0.356,1937,3418,0.567,1159,1562,0.742,617,2745,3362,1685,480,390,969,1247,7712,53,12
3,Houston Rockets,64,15435,2632,5803,0.454,986,2832,0.348,1646,2971,0.554,1310,1664,0.787,663,2212,2875,1375,541,329,939,1382,7560,40,24
4,Portland Trail Blazers,66,15890,2763,5998,0.461,829,2228,0.372,1934,3770,0.513,1145,1434,0.798,666,2335,3001,1333,401,411,858,1412,7500,29,37
5,Atlanta Hawks,67,16280,2723,6067,0.449,805,2416,0.333,1918,3651,0.525,1237,1566,0.79,661,2237,2898,1605,523,341,1086,1548,7488,20,47
6,New Orleans Pelicans,64,15510,2729,5902,0.462,896,2409,0.372,1833,3493,0.525,1082,1485,0.729,719,2290,3009,1728,486,328,1038,1345,7436,28,36
7,Los Angeles Clippers,64,15435,2664,5739,0.464,778,2123,0.366,1886,3616,0.522,1330,1679,0.792,701,2368,3069,1526,456,318,946,1411,7436,44,20
8,Washington Wizards,64,15435,2682,5821,0.461,788,2117,0.372,1894,3704,0.511,1247,1584,0.787,644,2024,2668,1621,519,273,900,1445,7399,24,40
9,Memphis Grizzlies,65,15625,2779,5913,0.47,710,2019,0.352,2069,3894,0.531,1053,1384,0.761,679,2357,3036,1757,520,363,992,1354,7321,32,33
10,Phoenix Suns,65,15675,2650,5709,0.464,727,2061,0.353,1923,3648,0.527,1289,1560,0.826,637,2163,2800,1766,507,261,980,1439,7316,26,39
11,Miami Heat,65,15825,2576,5486,0.47,868,2265,0.383,1708,3221,0.53,1270,1633,0.778,552,2343,2895,1689,480,291,968,1323,7290,41,24
12,Minnesota Timberwolves,64,15560,2586,5865,0.441,853,2540,0.336,1733,3325,0.521,1223,1624,0.753,675,2193,2868,1525,555,362,981,1370,7248,19,45
13,Boston Celtics*,64,15485,2634,5735,0.459,794,2190,0.363,1840,3545,0.519,1170,1461,0.801,683,2259,2942,1459,529,358,873,1367,7232,43,21
14,Toronto Raptors*,64,15460,2596,5665,0.458,880,2369,0.371,1716,3296,0.521,1159,1448,0.8,618,2275,2893,1624,565,316,924,1376,7231,46,18
15,Los Angeles Lakers*,63,15170,2704,5579,0.485,703,1981,0.355,2001,3598,0.556,1092,1496,0.73,668,2239,2907,1630,541,430,951,1299,7203,49,14
16,Denver Nuggets,65,15750,2719,5778,0.471,707,1977,0.358,2012,3801,0.529,1031,1330,0.775,699,2179,2878,1724,529,302,890,1303,7176,43,22
17,San Antonio Spurs,63,15295,2649,5638,0.47,671,1809,0.371,1978,3829,0.517,1160,1434,0.809,555,2244,2799,1546,454,345,773,1212,7129,27,36
18,Philadelphia 76ers,65,15675,2651,5701,0.465,742,2052,0.362,1909,3649,0.523,1079,1435,0.752,673,2282,2955,1682,531,349,923,1342,7123,39,26
19,Indiana Pacers,65,15700,2740,5744,0.477,648,1787,0.363,2092,3957,0.529,979,1244,0.787,573,2211,2784,1686,470,334,853,1274,7107,39,26
20,Utah Jazz,64,15385,2569,5413,0.475,843,2200,0.383,1726,3213,0.537,1125,1457,0.772,566,2320,2886,1419,377,256,954,1281,7106,41,23
21,Oklahoma City Thunder,64,15460,2578,5447,0.473,666,1878,0.355,1912,3569,0.536,1267,1589,0.797,517,2213,2730,1400,487,321,861,1205,7089,40,24
22,Brooklyn Nets,64,15560,2558,5763,0.444,824,2423,0.34,1734,3340,0.519,1149,1545,0.744,694,2409,3103,1539,413,292,993,1322,7089,30,34
23,Detroit Pistons,66,15965,2595,5658,0.459,791,2157,0.367,1804,3501,0.515,1097,1476,0.743,644,2109,2753,1589,490,299,1008,1299,7078,20,46
24,New York Knicks,66,15965,2638,5896,0.447,631,1872,0.337,2007,4024,0.499,1076,1550,0.694,795,2274,3069,1456,504,313,946,1464,6983,21,45
25,Sacramento Kings,64,15510,2583,5622,0.459,808,2219,0.364,1775,3403,0.522,1001,1302,0.769,616,2104,2720,1497,488,271,922,1400,6975,28,36
26,Cleveland Cavaliers,65,15725,2619,5715,0.458,727,2070,0.351,1892,3645,0.519,983,1296,0.758,704,2172,2876,1500,447,211,1073,1188,6948,19,46
27,Chicago Bulls,65,15675,2573,5762,0.447,793,2282,0.348,1780,3480,0.511,1006,1332,0.755,680,2041,2721,1510,652,265,1005,1417,6945,22,43
28,Orlando Magic,65,15625,2550,5773,0.442,710,2080,0.341,1840,3693,0.498,1104,1434,0.77,674,2220,2894,1559,543,372,820,1145,6914,30,35
29,Golden State Warriors,65,15725,2510,5730,0.438,678,2032,0.334,1832,3698,0.495,1214,1511,0.803,647,2138,2785,1663,534,299,969,1304,6912,15,50
30,Charlotte Hornets,65,15750,2425,5586,0.434,785,2231,0.352,1640,3355,0.489,1052,1406,0.748,715,2066,2781,1549,428,268,949,1223,6687,23,42
